wid,stimulus,button_pressed,time_elapsed,rt,trial_type,view_history,questions,responses,correct,queries,block,actions,delays,rewards,prs,score,action_times,trial_id,trial_time,path,simulation_mode,state_rewards,trial_index,key_press
we2adf14,,,612087,35509,survey-text,,,"{""Q0"":""Yes, instead of clicking on every single node for $3 I used my judgement to click on a few of those and save some money."",""Q1"":""26"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w10b0762,,,702833,179558,survey-text,,,"{""Q0"":""I learned that I need to get a better grip on understanding the patterns. "",""Q1"":""33"",""Q2"":""Woman""}",,,,,,,,,,,,,,,,
w9b5cac5,,,1445594,19659,survey-text,,,"{""Q0"":""Not really. Seemed a bit random."",""Q1"":""34"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w00f1425,,,370254,27493,survey-text,,,"{""Q0"":""no"",""Q1"":""48"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w1a640b0,,,351763,57847,survey-text,,,"{""Q0"":""I don't think I planned anything during the experience since the numbers seemed quite random."",""Q1"":""40"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w1133849,,,385875,20609,survey-text,,,"{""Q0"":""trying to pick circles that had the highest amount"",""Q1"":""24"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w6304f4a,,,286337,76379,survey-text,,,"{""Q0"":""I have no idea. I have no tactic/plan! Sometimes I click one of the gray circles at the start of the game, and if it's something like -24, I click a different one to make sure I don't land on a very bad circle. I try not to click too many so I don't lose $1 every time.""}",,,,,,,,,,,,,,,,
w6c8a977,,,1187708,94540,survey-text,,,"{""Q0"":""It's best to look at the end nodes to determine the course of action.""}",,,,,,,,,,,,,,,,
wbdd931d,,,552583,70487,survey-text,,,"{""Q0"":""I would just go for the 48 if the first click was 48 instead of trying to access to all the nodes""}",,,,,,,,,,,,,,,,
w21f2f2f,,,339689,27130,survey-text,,,"{""Q0"":""No"",""Q1"":""31"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w73cfc09,,,250210,19655,survey-text,,,"{""Q0"":""Checking nodes until I find the highest-paying end-node""}",,,,,,,,,,,,,,,,
w87ba793,,,404872,79374,survey-text,,,"{""Q0"":""There would usually be one decently profitable flight in the ending 3 branches, so spending at most 9 dollars to find a profitable flight was the technique I used."",""Q1"":""23"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wa589611,,,1090149,45752,survey-text,,,"{""Q0"":""Yes, I should not have checked all of them, I should have checked the destination only and worked toward those."",""Q1"":""39"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w1ebe356,,,648337,40959,survey-text,,,"{""Q0"":""I think staying with outer rings was best, but I faltered or was wrong."",""Q1"":""41"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w6a5935c,,,428556,44598,survey-text,,,"{""Q0"":""I don't think I did, I used the same strategy throughout."",""Q1"":""20"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w76c9181,,,320442,20743,survey-text,,,"{""Q0"":""Click on the outer circles first to reveal the highest rewards, and always move to +48 if revealed""}",,,,,,,,,,,,,,,,
wb0d8750,,,491456,99289,survey-text,,,"{""Q0"":""Before I used to inspect the nodes at random but I learned that once I got a 48 valued-node I should not have continued inspecting nodes. I also learned that the outermost nodes (ending nodes) were the most important ones to inspect, anything else would've of been a waste since the highest/lowers points were stored on those nodes.""}",,,,,,,,,,,,,,,,
w9c48e6a,,,341450,26844,survey-text,,,"{""Q0"":""It cost too much to check all end routes. I had to settle for the first green end."",""Q1"":""23"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w3806f41,,,277205,55655,survey-text,,,"{""Q0"":""The big green 48 blocks are only at the final nodes. You really just want to reveal those (it costs 6 total) and then path find to them. If two paths have them, check the branches for highest net cost vs. benefit.""}",,,,,,,,,,,,,,,,
w9a87a96,,,499370,12565,survey-text,,,"{""Q0"":""did not learn anything""}",,,,,,,,,,,,,,,,
we2adf14,,,332789,11259,survey-text,,,"{""Q0"":""Not sure, doing the same thing""}",,,,,,,,,,,,,,,,
w4cdd8c7,,,2970149,92322,survey-text,,,"{""Q0"":""I'm not so sure. It seemed quite random to me. At first I thought I should follow the green, but then sometimes following the red led to a better outcome. And sometimes not, but following the green seemed to be the better option."",""Q1"":""44"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w57cddb3,,,522819,74302,survey-text,,,"{""Q0"":""Yes, I started being more safe with my choices and paths after getting a -80 dollar loss. I then clicked the destination node to reveal the price and planned around that node. "",""Q1"":""24"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wc9b1793,,,319785,29242,survey-text,,,"{""Q0"":""Clicking on the outer zones to find the largest payout""}",,,,,,,,,,,,,,,,
w870562f,,,383560,50035,survey-text,,,"{""Q0"":""I have to reveal the last circle of the node so I can go directly to the highest value""}",,,,,,,,,,,,,,,,
w75851d4,,,286084,12450,survey-text,,,"{""Q0"":""not much really""}",,,,,,,,,,,,,,,,
wcc818a2,,,275277,21746,survey-text,,,"{""Q0"":""I click the last circle of each path first to see which paths are worth uncovering.""}",,,,,,,,,,,,,,,,
wbaef3e2,,,576679,46244,survey-text,,,"{""Q0"":""I learned to first reveal the highest node and follow its path.""}",,,,,,,,,,,,,,,,
w378dfa2,,,659597,118408,survey-text,,,"{""Q0"":""This game is broken. It was incorrect when it told me I was wrong. For example, if it said the bubble to the right was a green 4 and the one up was a green 2, I would (correctly) move right and it would tell me I \""should have moved up\"". It then penalized me. Unless you planned to do this, there is a MAJOR glitch. There is not much else I learned, since it is not working correctly. ""}",,,,,,,,,,,,,,,,
w4f70e59,,,1118950,41070,survey-text,,,"{""Q0"":""I learned the importance of clicking on as many highlighted nodes as possible in order to choose the best path to earn money.""}",,,,,,,,,,,,,,,,
wbaef3e2,,,452626,19340,survey-text,,,"{""Q0"":""Yes"",""Q1"":""42"",""Q2"":""F""}",,,,,,,,,,,,,,,,
w1f49a65,,,302295,64001,survey-text,,,"{""Q0"":""During the first couple of rounds, I clicked on circles that weren't relevant to the round's final total. After the game corrected my strategy, I made more money.""}",,,,,,,,,,,,,,,,
w27b8993,,,309663,84172,survey-text,,,"{""Q0"":""At first I was clicking on every circle too see its value. Now, I am now focusing on the ending circle and looking for a high positive value. If I see two circles with the same value then I will go back and click each circle on the paths to determine which is the best. ""}",,,,,,,,,,,,,,,,
w164f313,,,261229,31390,survey-text,,,"{""Q0"":""The end result was the easiest way to determine what path I would choose.""}",,,,,,,,,,,,,,,,
w0e8cc38,,,860752,21413,survey-text,,,"{""Q0"":""Nothing but my time wasted. ""}",,,,,,,,,,,,,,,,
w75851d4,,,310153,35454,survey-text,,,"{""Q0"":""Well yeah, instead of saving the $3 and going in blindly, you have to take the risk into everything."",""Q1"":""20"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w16958b6,,,405413,81670,survey-text,,,"{""Q0"":""At first I was clicking on random nodes, but then I followed the directions suggesting which sorts of nodes to select.  After a few rounds, I clicked on the most peripheral nodes until I found the ones that said 48, then proceeded to move that direction and always came out with a satisfying amount of winnings.""}",,,,,,,,,,,,,,,,
wa531f96,,,230929,20704,survey-text,,,"{""Q0"":""I've learned it is easy to play a game if you notice the patterns.""}",,,,,,,,,,,,,,,,
w25f6b80,,,568803,35337,survey-text,,,"{""Q0"":""No.  I didn't see any rhyme or reason to it.  "",""Q1"":""57"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wb1d44a5,,,291707,66927,survey-text,,,"{""Q0"":""The largest plus or minus values seem so far to be at the end of each path; I was gambling early on but eventually found this to be consistent. So by paying only to see the last node in each possible path I could generally do well by aiming for a +48 that I exposed. The values en route to the 48 were generally negligible compared to that positive payout.""}",,,,,,,,,,,,,,,,
w32e624f,,,232795,11770,survey-text,,,"{""Q0"":""just changing which direction I go""}",,,,,,,,,,,,,,,,
w1ba33d0,,,1013891,24494,survey-text,,,"{""Q0"":""At the beginning, I was only looking at the first bubbles to determine where to go, but I learned to look at the end bubbles first before deciding.""}",,,,,,,,,,,,,,,,
w378dfa2,,,375653,48688,survey-text,,,"{""Q0"":""I think that having the final move be to the left was beneficial in some cases. And I think that the best initial move was to go with the highest number. "",""Q1"":""52"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wfb54fff,,,266021,30206,survey-text,,,"{""Q0"":""Be careful when selecting the path, but ultimately it's up to luck and chance""}",,,,,,,,,,,,,,,,
w7422809,,,722131,123209,survey-text,,,"{""Q0"":""in the beginning, I was hesitant to use the hints but as I played I started using them to see the endpoints so I could narrow it down to the best path to go on""}",,,,,,,,,,,,,,,,
w52e10f5,,,227912,16456,survey-text,,,"{""Q0"":""I am now only clicking on the end nodes to find out which has the highest""}",,,,,,,,,,,,,,,,
w9b6356e,,,707273,26848,survey-text,,,"{""Q0"":""I stopped as soon as I got a double-digit positive number."",""Q1"":""46"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w0604ccd,,,1678554,316635,survey-text,,,"{""Q0"":""As Kenny Rodgers said, you've got to know when to hold 'em, and know when to fold 'em. That 3 point per click created a hard hitting reality check early on when I attempted to re-use my previous strategy. Seeking a confirmation of an optimal route was not a viable option. Success through settling.  "",""Q1"":""28"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w3ad57cb,,,307837,27621,survey-text,,,"{""Q0"":""I just checked the endpoints and tried to get lucky after a few looks"",""Q1"":""33"",""Q2"":""male""}",,,,,,,,,,,,,,,,
we144403,,,287799,24998,survey-text,,,"{""Q0"":""nothing. everything is random... how am I supposed to learn anything from that? there's no obvious patterns here. ""}",,,,,,,,,,,,,,,,
w864d4b2,,,244309,17237,survey-text,,,"{""Q0"":""I am clicking more strategically - only on the final nodes.""}",,,,,,,,,,,,,,,,
wea39a49,,,497605,51164,survey-text,,,"{""Q0"":""I learned to make sure to click on the icons to reveal the money is a very good tactic. At first I did not click on them enough. The wait timer was annoying.""}",,,,,,,,,,,,,,,,
w6ab5ed9,,,490975,63798,survey-text,,,"{""Q0"":""At the beginning of the training I clicked on every dot to see the big picture, after learning the game wanted me to travel to the 48 I began basing my movement off of that. ""}",,,,,,,,,,,,,,,,
w711bb52,,,306880,20452,survey-text,,,"{""Q0"":""I'm finding the 48 and going straight to it to maximize money gain.""}",,,,,,,,,,,,,,,,
w49b487f,,,273851,29997,survey-text,,,"{""Q0"":""I think I'm just going to click on the ends of each tree until I find something useful, instead of clicking on everything intermediate.""}",,,,,,,,,,,,,,,,
w121b9c1,,,270781,49929,survey-text,,,"{""Q0"":""In the practice, the last node was worth far more or less than any previous node, so I began only checking those nodes to make my decisions.""}",,,,,,,,,,,,,,,,
w066a715,,,830546,334580,survey-text,,,"{""Q0"":""I still looked at the end points mainly to guess what node I should end up on. This one was a bit riskier because it cost $3 to reveal one of the numbers. I don't know if it was in my head, but when I saw an area with a large negative, I eventually just stayed away from all the nodes in that area. For a few of the simulations, at some point I just had to cut my losses and just go the best route I could find. I tried not to click more than 5 times for each round because then I would be down $15 just from exposing the numbers. Assuming I didn't gain/lose anything on the path, if I spent $15 and saw something greater than ~40, then that's already at a $25 profit, so I was content with that. This one definitely made me think about cutting my losses more (compared to Part 1) because there was greater risk involved."",""Q1"":""35"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w9b6356e,,,362958,28236,survey-text,,,"{""Q0"":""I clicked just the final nodes on the path, and stopped clicking once I found a final node with a value of $48.""}",,,,,,,,,,,,,,,,
w5f4991c,,,407770,29410,survey-text,,,"{""Q0"":""To find out the \""end\"" nodes rather than the first ones I'll move to. Those seem to be more extreme in their value so matters more than if I'm getting 4/-4 at the first step""}",,,,,,,,,,,,,,,,
wf762351,,,271906,28548,survey-text,,,"{""Q0"":""No, the amounts and pathing seems to be too random to plan for."",""Q1"":""25"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w85a5a53,,,607949,13149,survey-text,,,"{""Q0"":""Checking the nodes until I find the right amount""}",,,,,,,,,,,,,,,,
w8f71810,,,310308,7971,survey-text,,,"{""Q0"":""i have no clue""}",,,,,,,,,,,,,,,,
w4fdf442,,,554208,22164,survey-text,,,"{""Q0"":""Just that if I saw a number I was happy with, that would probably be the best."",""Q1"":""48"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w801a8f0,,,373717,32549,survey-text,,,"{""Q0"":""At first, I was clicking on the beginning nodes, when it turns out that I need to click on the outer nodes first to see where I want to send the spider.""}",,,,,,,,,,,,,,,,
wc60255e,,,269084,23064,survey-text,,,"{""Q0"":""I understand that I should click the end nodes until I find +48. If there isn't one, start clicking the next inner nodes.""}",,,,,,,,,,,,,,,,
w131bb1f,,,301436,26177,survey-text,,,"{""Q0"":""Try to find the +$48 tile then move in that direction.""}",,,,,,,,,,,,,,,,
w76e01de,,,435833,23782,survey-text,,,"{""Q0"":""To not rush as much""}",,,,,,,,,,,,,,,,
wffa22e4,,,673845,11118,survey-text,,,"{""Q0"":""I know where to go based off of the clicking""}",,,,,,,,,,,,,,,,
we99b5b4,,,280339,10477,survey-text,,,"{""Q0"":""I learned where to click""}",,,,,,,,,,,,,,,,
w83ecf8d,,,388572,21396,survey-text,,,"{""Q0"":""By the end I was focusing on the outer nodes and the 48 point prize.""}",,,,,,,,,,,,,,,,
w959beb0,,,523679,69127,survey-text,,,"{""Q0"":""Slightly. It was much easier to plan when the web was smaller."",""Q1"":""31"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wc1b0c87,,,479762,74171,survey-text,,,"{""Q0"":""It was really just hoping to reveal green, tried to go no more than 4 clicks  and I hoped to average about 3 clicks."",""Q1"":""25"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w908b47f,,,265388,31908,survey-text,,,"{""Q0"":""I learned to inspect the end nodes rather than the nodes closer to me. The end nodes tend to have the greatest gains or losses. ""}",,,,,,,,,,,,,,,,
wf6210ad,,,376038,31184,survey-text,,,"{""Q0"":""making sure I started aiming for 48""}",,,,,,,,,,,,,,,,
w672b9ce,,,382018,37516,survey-text,,,"{""Q0"":""No changes, just looking to see which path will yield the best reward""}",,,,,,,,,,,,,,,,
w87647aa,,,465824,68449,survey-text,,,"{""Q0"":""I learned which nodes to click and then find the one worth $48.""}",,,,,,,,,,,,,,,,
we6f3113,,,314925,5594,survey-text,,,"{""Q0"":""Absolutely nothing""}",,,,,,,,,,,,,,,,
wd600cfe,,,369676,47325,survey-text,,,"{""Q0"":""I used the same strategy as before, with only looking at the ends. At times, I thought there were patterns where the node that corresponded on the other side was similarly negative or positive."",""Q1"":""21"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wfb4bc5c,,,444788,59226,survey-text,,,"{""Q0"":""I learned to set up myself with 4 node checks and then move according to what knowledge i gained."",""Q1"":""20"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
weefa095,,,323972,23674,survey-text,,,"{""Q0"":""Clicking on the circles until I find $48 then going to that circle""}",,,,,,,,,,,,,,,,
w04e39a4,,,454748,26946,survey-text,,,"{""Q0"":""I am being more cautious, thinking about all my options and making careful, deliberate decisions.""}",,,,,,,,,,,,,,,,
wbdd931d,,,457057,95554,survey-text,,,"{""Q0"":""If the number is small I could press two more nodes and find the largest one to go to. If it appears to be negative a few times, I will immediately just go to the first positive that popped up."",""Q1"":""20"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wf762351,,,230837,10929,survey-text,,,"{""Q0"":""I am doing nothing differently so far.""}",,,,,,,,,,,,,,,,
w54c02b5,,,285062,29614,survey-text,,,"{""Q0"":""I learned I should start be clicking the gray circles farthest from the spider, until I found the +48 node.""}",,,,,,,,,,,,,,,,
w4d3ace0,,,331763,53992,survey-text,,,"{""Q0"":""I learned that I might need to click on more nodes than I would have thought previously in order to maximize my earnings.""}",,,,,,,,,,,,,,,,
webe69b1,,,358169,38920,survey-text,,,"{""Q0"":""I'm just finding the +48 by clicking the spaces at the end of the paths. If there are two, I find the best past path to the plus +48""}",,,,,,,,,,,,,,,,
wd316fd3,,,525570,26188,survey-text,,,"{""Q0"":""I don't know""}",,,,,,,,,,,,,,,,
w74c6f79,,,495805,77476,survey-text,,,"{""Q0"":""I sure did! I learned that I shouldn't go too fast and I should have taken the time to develop a better strategy. "",""Q1"":""19"",""Q2"":""Man""}",,,,,,,,,,,,,,,,
w3d9d165,,,494868,47887,survey-text,,,"{""Q0"":""Not really! It's like gambling with the scarcest of information.\nThe fewer steps the better in theory, but it really was very random."",""Q1"":""43"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wcd17cba,,,807611,19988,survey-text,,,"{""Q0"":""I learned nothing, to be honest. No strategy used.""}",,,,,,,,,,,,,,,,
wfae338d,,,361649,64736,survey-text,,,"{""Q0"":""Yes, I learned at what point I should keep searching, and what point to just go for the reward. "",""Q1"":""19"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w216da7e,,,256066,58260,survey-text,,,"{""Q0"":""I took longer to learn than I would've liked, but I figured out that there's always one good main branch followed by one good second branch. So, I would benefit from clicking only until I find each.""}",,,,,,,,,,,,,,,,
wb0d67f3,,,536769,36334,survey-text,,,"{""Q0"":""I'm not sure, I was more afraid to take risks by looking at final destinations"",""Q1"":""26"",""Q2"":""non-binary""}",,,,,,,,,,,,,,,,
w864d4b2,,,337134,47269,survey-text,,,"{""Q0"":""Yes! I learned to stick with the final nodes and to commit to the first \""good\"" amount, rather than continue clicking to find a \""better\"" amount and waste money."",""Q1"":""20"",""Q2"":""Cisgender woman""}",,,,,,,,,,,,,,,,
w1ba7061,,,570877,23697,survey-text,,,"{""Q0"":""Not really"",""Q1"":""49"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w04f8a30,,,589773,41842,survey-text,,,"{""Q0"":""I don't need to check every nobe."",""Q1"":""34"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
waf3707e,,,621859,82944,survey-text,,,"{""Q0"":""I learned that it wasn't worth the $3 to click on the inside nodes. I also think that the big amounts on the outside went down (and were less frequent) as the game went on because by the end I was clicking on almost every external node to find one worth going to."",""Q1"":""28"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w83ecf8d,,,413500,61054,survey-text,,,"{""Q0"":""I focused on the second the later nodes rather than the closer nodes. The later nodes seemed to have a higher value."",""Q1"":""21"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w6a97990,,,342883,49915,survey-text,,,"{""Q0"":""I again looked to land a high-value destination, but it was a bit more challenging than the last task due to the -$3 penalty per click."",""Q1"":""35"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w959beb0,,,414577,40859,survey-text,,,"{""Q0"":""I was starting by checking the nodes closest to me, but through practice realized I should search out the highest amount farthest away from me.""}",,,,,,,,,,,,,,,,
wab416d7,,,702834,99001,survey-text,,,"{""Q0"":""I learned to take risks and kind of embrace the lost. ""}",,,,,,,,,,,,,,,,
w37a96c2,,,526835,58717,survey-text,,,"{""Q0"":""I learned to click as few as possible. As long as I found one for $30 or more, I went ahead and took it. "",""Q1"":""42"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w4cc6f0b,,,428894,48142,survey-text,,,"{""Q0"":""I learned a strategy to reveal as few nodes as possible which I implemented later in the rounds. ""}",,,,,,,,,,,,,,,,
w94b12b9,,,391616,77976,survey-text,,,"{""Q0"":""I learned to try one path entirely before paying for the others. This way I can save money if I choose the best path immediately. I also learned sometimes to just take the risk and guess. For me it worked out but next time I may not be so lucky. ""}",,,,,,,,,,,,,,,,
wd596dfb,,,411686,15094,survey-text,,,"{""Q0"":""The most important value is the end value.""}",,,,,,,,,,,,,,,,
w6db0f97,,,3286375,62644,survey-text,,,"{""Q0"":""That i am not very good at Web of Cash. I tried my hardest. This is the first time i Ever played this game ""}",,,,,,,,,,,,,,,,
w2d09e07,,,271852,32632,survey-text,,,"{""Q0"":""If I reveal a space that has a positive, sometimes I may not need to click on the other one or two left.  This is in order to save some money. ""}",,,,,,,,,,,,,,,,
w8849c6d,,,388204,46125,survey-text,,,"{""Q0"":""click at the far end of the branch / tree to find maximum amount""}",,,,,,,,,,,,,,,,
w0175c05,,,403245,56413,survey-text,,,"{""Q0"":""I pay more attention to the final blocks""}",,,,,,,,,,,,,,,,
w6b1b7c5,,,404949,31181,survey-text,,,"{""Q0"":""I clicked the second to last circles to see which had positive results, then picked the last values which negated most of the earlier values. "",""Q1"":""21"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w3013d26,,,522594,89138,survey-text,,,"{""Q0"":""Not really. I was trying to see if there was a pattern to how many neg and pos were in each path but there was no pattern I could find. I think clicking till you find a good number at the end makes the most sense, but too much clicking and you lose more money."",""Q1"":""37"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w8a8ab24,,,374899,36949,survey-text,,,"{""Q0"":""Focus more on the middle paths when paying to reveal them."",""Q1"":""28"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wd2a2c7b,,,457710,25834,survey-text,,,"{""Q0"":""Yes I did"",""Q1"":""30"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w908b47f,,,327813,28346,survey-text,,,"{""Q0"":""I learned to use my resources wisely in planning end goals. "",""Q1"":""18"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
we9f86ad,,,508273,100833,survey-text,,,"{""Q0"":""Probe until you get something above 50, and then move towards it regardless. Probing costs money. Do it as strategically as possible. "",""Q1"":""34"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
wc298d78,,,588772,155713,survey-text,,,"{""Q0"":""Yeah, I think I did learn a little bit.  I think the biggest thing was that sometimes it's better to take a decent profit versus taking more risk to find a bigger profit. It doesn't always pay to keep searching, sometimes it's better to just stop where you are and try to get more the next round.  Plan to earn less in some rounds and hit it big in other rounds, and it will all average out in the end."",""Q1"":""40"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w5e37512,,,760203,113632,survey-text,,,"{""Q0"":""Originally, I clicked the node that provided the highest value after using the one dollar to reveal it. However, I thought there was a pattern, so I stopped using the reveal and simply went right up left up right for the last tasks. Unfortunately I did not keep track of where the loss was on the outer web, left or right, so I lost nearly every time. ""}",,,,,,,,,,,,,,,,
wbec4a17,,,366685,64385,survey-text,,,"{""Q0"":""Clicking the outer airports and going to the one with a value of 23or above would have left me with more money than trying to click a few unnecessary ones to find a super high paying one."",""Q1"":""22"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
we213163,,,404283,24097,survey-text,,,"{""Q0"":""Not really. "",""Q1"":""29"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wf69e14e,,,449376,55913,survey-text,,,"{""Q0"":""I've learned to limit how much money I use on finding out the values, and as soon as I find the final space with the highest value, I head that way. I've starting clicking on the spaces with the final destinations and then revealing the path to get there, versus clicking randomly around the board.""}",,,,,,,,,,,,,,,,
wa882f45,,,467987,61919,survey-text,,,"{""Q0"":""i had to cut back on the clicking on revealing the profit/loss.\ni stuck with 30+ profit as soon as i found it"",""Q1"":""23"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w5d56dfe,,,280849,40333,survey-text,,,"{""Q0"":""I'll be moving slower and thinking more carefully before rushing to advance to the next node.""}",,,,,,,,,,,,,,,,
w9c62672,,,401466,33539,survey-text,,,"{""Q0"":""Since the highest possible value is $48, towards the end I was only checking the end nodes for which one is $48""}",,,,,,,,,,,,,,,,
w4f54495,,,731306,43075,survey-text,,,"{""Q0"":"""",""Q1"":""24"",""Q2"":""Female""}",,,,,,,,,,,,,,,,
w1620c80,,,375272,48608,survey-text,,,"{""Q0"":""At the end of flight patterns I noticed if one value was positive or negative the other values would follow suit. I tried to lean towards positive values to spend my money there before deciding on my final flight pattern to maximize my earnings."",""Q1"":""31"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
we144403,,,522618,13006,survey-text,,,"{""Q0"":""no. lol"",""Q1"":""28"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wf6210ad,,,577161,84867,survey-text,,,"{""Q0"":""maybe- I learned to take the first larger green sum I think.  I thought it was fun. "",""Q1"":""40"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w9a87a96,,,339185,24404,survey-text,,,"{""Q0"":""nothing"",""Q1"":""46"",""Q2"":""male""}",,,,,,,,,,,,,,,,
w3ad57cb,,,434256,17006,survey-text,,,"{""Q0"":""show all and pick highest""}",,,,,,,,,,,,,,,,
w3a7d863,,,630016,67566,survey-text,,,"{""Q0"":""I've learned that the nodes change from game to game and that I should only use a certain amount of clicks.""}",,,,,,,,,,,,,,,,
w3104315,,,281521,24923,survey-text,,,"{""Q0"":""Look at the end nodes first. But that strategy wouldn't work if the end nodes weren't worth the most.""}",,,,,,,,,,,,,,,,
w04d56d7,,,556908,59797,survey-text,,,"{""Q0"":""I uncovered the furthest out parts of the web first so as to minimize deductions and make sure I went to the part of the web worth 48""}",,,,,,,,,,,,,,,,
w42f0835,,,386003,33949,survey-text,,,"{""Q0"":""I stopped looking at the main routes and just looked at the destinations. I looked for positive numbers and went for the highest."",""Q1"":""40"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wff57731,,,639079,82009,survey-text,,,"{""Q0"":""I weighed the possible benefit of clicking another space versus the $3 it cost.  Once I got a reasonable + amount, I went for it."",""Q1"":""76"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
w85cb4f9,,,297850,39933,survey-text,,,"{""Q0"":""Instead of seeing nodes for the first move, I saw the ones at the end where the higher payouts were""}",,,,,,,,,,,,,,,,
w81d3c41,,,403320,8739,survey-text,,,"{""Q0"":""Clicking all of the nodes I can before moving. ""}",,,,,,,,,,,,,,,,
we9f86ad,,,481286,55052,survey-text,,,"{""Q0"":""Interior nodes are irrelevant, terminal nodes have most of the value. Once you find high value in the terminal nodes cease clicking and start moving.""}",,,,,,,,,,,,,,,,
w595e5e4,,,342711,23951,survey-text,,,"{""Q0"":""End of the path is critical"",""Q1"":""26"",""Q2"":""female""}",,,,,,,,,,,,,,,,
w54c02b5,,,407473,29692,survey-text,,,"{""Q0"":""I started by revealing the farthest dots, then proceeded to follow those paths to the largest sum."",""Q1"":""33"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wa531f96,,,335586,19889,survey-text,,,"{""Q0"":""I learned that there will be patterns."",""Q1"":""19"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wd7312ba,,,651309,63566,survey-text,,,"{""Q0"":""I felt like my strategy wasn't optimal, but I just clicked through the end nodes and generally went for whichever end node was >$30."",""Q1"":""21"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wa589611,,,526027,29397,survey-text,,,"{""Q0"":""I learned that I needed to reveal all nodes in order to move the spider in the right direction.""}",,,,,,,,,,,,,,,,
w2b98d1e,,,385632,60480,survey-text,,,"{""Q0"":""Yes. Instead of using the node detector on the nodes closest to the start, I used it on the high-yielding nodes, disregarding the nodes in between. That got me the most profits."",""Q1"":""18"",""Q2"":""Male""}",,,,,,,,,,,,,,,,
wcacd23b,,,383641,16985,survey-text,,,"{""Q0"":""look at final destinations"",""Q1"":""26"",""Q2"":""female""}",,,,,,,,,,,,,,,,
wc7489d9,,,310425,16377,survey-text,,,"{""Q0"":""clicking only until i find +48 node""}",,,,,,,,,,,,,,,,
w5697380,,,291731,45976,survey-text,,,"{""Q0"":""I have learned that it seems completely random and no matter what I click on, it seems to make no sense""}",,,,,,,,,,,,,,,,
w3bd5801,,,365368,18541,survey-text,,,"{""Q0"":""check end nodes first""}",,,,,,,,,,,,,,,,
wa5f061a,,,362868,11540,survey-text,,,"{""Q0"":""I learned that the big values are at the end of each line!""}",,,,,,,,,,,,,,,,
w383bb6f,,,506756,46460,survey-text,,,"{""Q0"":""Yap, Good"",""Q1"":""44"",""Q2"":""male""}",,,,,,,,,,,,,,,,
