wid,trial_type,rt,time_elapsed,view_history,questions,correct,responses,stimulus,button_pressed,action_times,trial_index,state_rewards,trial_time,delays,queries,simulation_mode,rewards,block,trial_id,score,prs,path,actions
wec34db6,survey-text,10214,642420,,,,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4034395,survey-text,13140,1002750,,,,"{""Q0"":""30"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wf953efc,survey-text,19220,1187614,,,,"{""Q0"":""71"",""Q1"":""f""}",,,,,,,,,,,,,,,,
we4ae6a5,survey-text,6408,628036,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wab18c99,survey-text,11784,1567773,,,,"{""Q0"":""32"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w895d2ea,survey-text,8346,846238,,,,"{""Q0"":""23"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
weaf873e,survey-text,8188,927031,,,,"{""Q0"":""21"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wba1ad94,survey-text,10200,662263,,,,"{""Q0"":""41"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w26cd91a,survey-text,8400,1038623,,,,"{""Q0"":""40"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w18aa781,survey-text,7169,986231,,,,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w5a0a204,survey-text,19471,1743496,,,,"{""Q0"":""31"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w5048ab3,survey-text,13007,967036,,,,"{""Q0"":""56"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w2db98bb,survey-text,20219,2597357,,,,"{""Q0"":""51"",""Q1"":""Female ""}",,,,,,,,,,,,,,,,
w08cbdf0,survey-text,9163,975890,,,,"{""Q0"":""34"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w1f2fdb1,survey-text,8576,682858,,,,"{""Q0"":""25"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wccbd8f4,survey-text,7911,1060330,,,,"{""Q0"":""49"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w3ad5cf2,survey-text,6909,597566,,,,"{""Q0"":""42"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
we7bdf81,survey-text,10574,862248,,,,"{""Q0"":""38"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wd0b2599,survey-text,7418,692750,,,,"{""Q0"":""25"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w9444c7a,survey-text,6369,601569,,,,"{""Q0"":""22"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w8a8719d,survey-text,9023,682208,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w12cbe12,survey-text,9902,782804,,,,"{""Q0"":""22"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wc217a1c,survey-text,7204,770687,,,,"{""Q0"":""26"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wc9e0f99,survey-text,11455,665981,,,,"{""Q0"":""33"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wae3ee5a,survey-text,6827,734935,,,,"{""Q0"":""21"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wd28b774,survey-text,12141,812232,,,,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wc40c24f,survey-text,19670,792325,,,,"{""Q0"":""32"",""Q1"":""nonbinary""}",,,,,,,,,,,,,,,,
wbaa62a3,survey-text,10545,678422,,,,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w69975bf,survey-text,9185,834881,,,,"{""Q0"":""32"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w7501d8f,survey-text,8701,696794,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w9cde8e8,survey-text,11771,713421,,,,"{""Q0"":""44"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w97f6d99,survey-text,20869,2438451,,,,"{""Q0"":""27"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wda32056,survey-text,5895,554339,,,,"{""Q0"":""18"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wb377de3,survey-text,11443,699091,,,,"{""Q0"":""38"",""Q1"":""male""}",,,,,,,,,,,,,,,,
we538d20,survey-text,20069,712401,,,,"{""Q0"":""20"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w35ddc3e,survey-text,6074,752290,,,,"{""Q0"":""24"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
wb6cf251,survey-text,10827,701091,,,,"{""Q0"":""55"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w1a610e6,survey-text,10035,912770,,,,"{""Q0"":""43"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wba94fbc,survey-text,8939,699972,,,,"{""Q0"":""23"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
we989ff9,survey-text,34972,949915,,,,"{""Q0"":""21"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w7ccb9b4,survey-text,16314,1980030,,,,"{""Q0"":""21"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wae4d5b9,survey-text,9958,816433,,,,"{""Q0"":""20"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w3b509c1,survey-text,9848,586805,,,,"{""Q0"":""35"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wc440930,survey-text,9480,665244,,,,"{""Q0"":""36"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w87235fc,survey-text,20404,590160,,,,"{""Q0"":""23"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wce40e34,survey-text,20068,1132221,,,,"{""Q0"":""28"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
web72dbc,survey-text,15277,1825500,,,,"{""Q0"":""46"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w8661de2,survey-text,11973,914696,,,,"{""Q0"":""37"",""Q1"":""m""}",,,,,,,,,,,,,,,,
w5e72b5a,survey-text,9675,668140,,,,"{""Q0"":""31"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w9505bbc,survey-text,8637,575908,,,,"{""Q0"":""25"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
we065091,survey-text,10899,692617,,,,"{""Q0"":""52"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w776ae0f,survey-text,7234,723005,,,,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4f02d19,survey-text,35431,1119268,,,,"{""Q0"":""19"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4222fa9,survey-text,20281,807402,,,,"{""Q0"":""36"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w4c3d5f1,survey-text,13036,1143394,,,,"{""Q0"":""19"",""Q1"":""male""}",,,,,,,,,,,,,,,,
wdc4f3cf,survey-text,7623,668986,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w270f425,survey-text,11742,808495,,,,"{""Q0"":""21"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w4c4372c,survey-text,11079,730136,,,,"{""Q0"":""23"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w92c5e59,survey-text,12972,1425942,,,,"{""Q0"":""57"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
wa63f90c,survey-text,15141,985433,,,,"{""Q0"":""42"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w5dd304d,survey-text,11976,729685,,,,"{""Q0"":""57"",""Q1"":""female""}",,,,,,,,,,,,,,,,
wc284d5b,survey-text,10625,708678,,,,"{""Q0"":""33"",""Q1"":""Male""}",,,,,,,,,,,,,,,,
w65c1aa9,survey-text,11837,688857,,,,"{""Q0"":""38"",""Q1"":""male""}",,,,,,,,,,,,,,,,
w972b8b1,survey-text,12277,858131,,,,"{""Q0"":""26"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w061e08c,survey-text,9325,1056119,,,,"{""Q0"":""20"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w4469e10,survey-text,10012,662267,,,,"{""Q0"":""20"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w4b6a213,survey-text,9041,712520,,,,"{""Q0"":""31"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w45da468,survey-text,8410,773518,,,,"{""Q0"":""35"",""Q1"":""female""}",,,,,,,,,,,,,,,,
w34a9edb,survey-text,11806,548764,,,,"{""Q0"":""19"",""Q1"":""female/gender questioning ""}",,,,,,,,,,,,,,,,
w40f9c3e,survey-text,16298,911309,,,,"{""Q0"":""59"",""Q1"":""Female""}",,,,,,,,,,,,,,,,
w9975f20,survey-text,9169,570693,,,,"{""Q0"":""19"",""Q1"":""woman""}",,,,,,,,,,,,,,,,
