wid,time_elapsed,button_pressed,trial_type,stimulus,rt,view_history,responses,correct,questions,trial_time,simulation_mode,trial_id,rewards,block,delays,actions,path,trial_index,state_rewards,queries,score,prs,action_times,key_press
w88fa9c1,276309,,survey-text,,66854,,"{""Q0"":""Investigate the final destinations (i.e. the long-term consequences of my decisions), which can either be extremely profitable or extremely harmful."",""Q1"":""I would consider, above all, the long-term interest rates and consequences of going with one of the given loans.""}",,,,,,,,,,,,,,,,,
w88fa9c1,349240,,survey-text,,71922,,"{""Q0"":""Short-term consequences aren't everything. We can, and must, think ahead about the long-term consequences of our actions."",""Q1"":""Deciding what to major in in college."",""Q2"":""We must be able to consider what decisions will work out best for us in the long term -- one decision can have a domino effect of sorts.""}",,,,,,,,,,,,,,,,,
w88fa9c1,370501,,survey-text,,11385,,"{""Q0"":""Nothing I can think of."",""Q1"":""No, thank you!""}",,,,,,,,,,,,,,,,,
we2c2af5,418414,,survey-text,,104328,,"{""Q0"":""You can look at the last stops to see how much will be gained at the end. If it ends up being negative, you most likely wouldn't want to go on that route"",""Q1"":""Whichever one will have the biggest benefit in the end will be the best option.""}",,,,,,,,,,,,,,,,,
we2c2af5,588451,,survey-text,,169032,,"{""Q0"":""Sometimes it's okay to take a route thatll lose you money if it means theres a bigger net gain at the end."",""Q1"":""First job would be my example. Nobody loves their first job or thinks they will be there forever, but if it's a way to leverage you to a higher position or make more networks, it's worth the time there."",""Q2"":""If you're losing money to make money, you'll end up fine""}",,,,,,,,,,,,,,,,,
we2c2af5,596496,,survey-text,,2537,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
wfcb5827,444953,,survey-text,,108804,,"{""Q0"":""Find out what destinations have the best reward and just decide to go there."",""Q1"":""I would probably pick the one with the best rate for the next 19 years, since I would have to deal with that the longest.""}",,,,,,,,,,,,,,,,,
wfcb5827,578615,,survey-text,,132641,,"{""Q0"":""Figure out what end goal offers the best reward and select the path that gets you there."",""Q1"":""I should think of the job I want six months to a year from now, and work to attain the skills I need to get it."",""Q2"":""I would figure the company with the most attractive package, figure the skills they want and make sure I can demonstrate them. ""}",,,,,,,,,,,,,,,,,
wfcb5827,592471,,survey-text,,4747,,"{""Q0"":""No"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w7e4b254,331316,,survey-text,,65425,,"{""Q0"":""find the highest value at the end and work backwards"",""Q1"":""find out which will cost less overall at the end of your mortgage""}",,,,,,,,,,,,,,,,,
w7e4b254,419725,,survey-text,,87379,,"{""Q0"":""think of what big end goal they want and work backwards"",""Q1"":""long term plans such as my career, buying a house, settling down, etc."",""Q2"":""figure out my most profitable desired end and work to meet it""}",,,,,,,,,,,,,,,,,
w7e4b254,436490,,survey-text,,6638,,"{""Q0"":""no"",""Q1"":""was fun""}",,,,,,,,,,,,,,,,,
w98ec025,643894,,survey-text,,117101,,"{""Q0"":""if I get a low positive number, take it rather than continuing to look for the big number. "",""Q1"":""I would choose a rate that has a better rate long term. ""}",,,,,,,,,,,,,,,,,
w98ec025,880109,,survey-text,,235207,,"{""Q0"":""It is okay to settle for small consistent rewards. "",""Q1"":""Deciding to leave a job that was unhealthy. "",""Q2"":""I decided to risk the loss of great success in favor of a more healthy lifestyle. ""}",,,,,,,,,,,,,,,,,
w98ec025,897254,,survey-text,,8877,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
w9c4b289,866068,,survey-text,,167138,,"{""Q0"":""I can look at the long-term effects of the flight path by clicking on the last two flight paths in a given direction, whether I choose to go up, left, or right.  Instead of checking each airport in the direction I might go, which is what I did in most of the rounds.  I don't like the unknown very well, I'm not much of a gambler when it comes to making life choices."",""Q1"":""I would look at how those rates will change in the next 19 years first since the first month won't hurt as much financially if the rates are high first and then go down throughout the life of the loan.""}",,,,,,,,,,,,,,,,,
w9c4b289,1300211,,survey-text,,433119,,"{""Q0"":""I would tell them that they can choose 3 different directions in the beginning, and can choose to pay in order to remove doubt in the direction they may choose in order to understand what may happen with the direction they chose to travel.  Really I would tell them that this game represents how we can lose or gain in life through the paths we take, and if we understand what the outcomes of those paths can yield, we can understand better and plan better in what path to take."",""Q1"":""One example I can think of was whether I should pursue a career in the military or go to college when I graduated high school, using this strategy I could have understood better what I would gain and what I could lose depending on which path I were to choose.  Since I chose the military, I learned that I gained integrity, an appreciation for camaraderie, work ethic, but at a cost of making less money than if I went to college, and a loss of academic knowledge that would have also been beneficial to me later in life, but the military gave me a work ethic, that I don't believe college would have provided, which I argue is more valuable than just having a good amount of academic knowledge."",""Q2"":""I think it is similar because I still was faced with having to choose which directions I took in the military in order to gain or lose whether it was money I gained or lost or other things of value, I still have plenty of directions I had to choose in order to continue down the basic path that I had chosen.""}",,,,,,,,,,,,,,,,,
w9c4b289,1430699,,survey-text,,114512,,"{""Q0"":""I didn't realize at first that I should have clicked on the last circles in each path to realize the long term ramifications of my flight path until towards the end, but that was not really confusing, just something that I should have realized by the instructions telling me that."",""Q1"":""I hope that my reasons to the questions were not too wordy, or off topic, I did enjoy this study and look forward to the second round tomorrow.""}",,,,,,,,,,,,,,,,,
w1192040,290636,,survey-text,,43510,,"{""Q0"":""Look at the end destination more than the journey towards it."",""Q1"":""I would choose the one that has the lowest interest rate at the end.""}",,,,,,,,,,,,,,,,,
w1192040,360440,,survey-text,,68780,,"{""Q0"":""I would tell them to consider the final destination and then the journey towards it."",""Q1"":""This could work well for deciding where I want to go on vacation first and then planning the steps to get there."",""Q2"":""This is similar to the game because I would need a final destination (the vacation) and then smaller flights towards it (the planning steps).""}",,,,,,,,,,,,,,,,,
w1192040,373408,,survey-text,,5209,,"{""Q0"":""No"",""Q1"":""Thank you!""}",,,,,,,,,,,,,,,,,
w355bc50,585678,,survey-text,,234023,,"{""Q0"":""you can click on the \""endings\"" of the path to see what the biggest digit is."",""Q1"":""I would choose the interest rate for the next 19 years""}",,,,,,,,,,,,,,,,,
w355bc50,688463,,survey-text,,101755,,"{""Q0"":""Always think about the future impact, not the temporary impact."",""Q1"":""I attended community college because I knew I would be riddled in debt if I attended a private college."",""Q2"":""This situation is similar because I had to think about the long term costs of my actions.""}",,,,,,,,,,,,,,,,,
w355bc50,704389,,survey-text,,5020,,"{""Q0"":""Nope"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w03510c5,833382,,survey-text,,513596,,"{""Q0"":""In this game is seemed as though the best strategy to reduce clicks was to First check the end points in search of one with a maximum +48 value and then simply follow that path. However this strategy only seemed to work because the first and second \""short and mid term\"" points had a maximum  value of (-)+8 or so. If it was possible that all 3 of the points contained values between -48 and 48 is it not +expected value to simply spend the 1 dollar to reveal all nodes for each path?"",""Q1"":""Based on the flight simulator I would chose the loan in which the rate will change in the first month only because the flight simulator showed that the first node had the lowest amount of risk while the last node could have a large positive value it also had larger negative values ""}",,,,,,,,,,,,,,,,,
w03510c5,1182413,,survey-text,,347956,,"{""Q0"":""I would tell them that blindly choosing a path seems like its only a particularly valid choice when the game is constructed purposefully to make confirm the researchers assumptions. And unfortunately life isn't like that so perhaps take it with a grain of salt."",""Q1"":""If I know  that the immediate risks are not very great then I can chose the path with the greatest reward. I can see this mindset being useful in overcoming inaction or lack of motivation because the risk of doing is minimal compared to the potential long term  benefit "",""Q2"":""This is similar to the flight simulator because e the game forces you to make decisions without as much information as would be optimal however over time you can learn that the risk of your initial decisions arent that great ""}",,,,,,,,,,,,,,,,,
w03510c5,1253616,,survey-text,,57100,,"{""Q0"":""The question regarding the mortgage is worded very unclearly and doesnt make much sense "",""Q1"":""nope =)""}",,,,,,,,,,,,,,,,,
w5c82366,337499,,survey-text,,63281,,"{""Q0"":""I adjusted my aim - instead of trying to find the highest reward, once I clicked and found a decent reward, I committed to it."",""Q1"":""What is the best deal I can get where I'm in the \""green\"" so to speak. I don't need to hoard a bunch of money, I just need to comfortably get by.""}",,,,,,,,,,,,,,,,,
w5c82366,404309,,survey-text,,65789,,"{""Q0"":""It's about examining long, short, and mid term consequences in order to progress."",""Q1"":""Selecting my next job - it shouldn't be just anything, completely unrelated to my field, but I don't need to be so picky about finding a perfect spot. Something in between that will cover my needs. "",""Q2"":""It's about finding a middle ground in terms of expectations and reward.""}",,,,,,,,,,,,,,,,,
w5c82366,414840,,survey-text,,4991,,"{""Q0"":""No"",""Q1"":""None""}",,,,,,,,,,,,,,,,,
w7d702f2,589779,,survey-text,,215250,,"{""Q0"":""Click on just the final destination locations until I find a $48 one then fly to that one?  The math might workout over 10 rounds.\n\nThis time I just clicked thru most of the destinations so I had all the information available."",""Q1"":"" I think I understand the question?  I would look at what I might be making over the course of my lifetime and determine what kind of mortgage I could afford based on where I'd be in 20 years.""}",,,,,,,,,,,,,,,,,
w7d702f2,781482,,survey-text,,190682,,"{""Q0"":""A society grows great when old men plant trees whose shade they know they shall never sit in."",""Q1"":""Health.  If you don't exercise and eat like garbage in 20 years you'll end up with disease and illness.  If you take care of yourself by exercising and eating right you won't have as many problems in old age."",""Q2"":""Understanding where you want to be when you're older is the key to making sure you stay on track.""}",,,,,,,,,,,,,,,,,
w7d702f2,828968,,survey-text,,33693,,"{""Q0"":""I had to think through the questions a little bit but I think I understood them."",""Q1"":""Fun study, thanks!""}",,,,,,,,,,,,,,,,,
w79cb3a2,739226,,survey-text,,51318,,"{""Q0"":""I click on the end points and ignore the journey points."",""Q1"":""I'd calculate which plan had the lowest interest and pick that.""}",,,,,,,,,,,,,,,,,
w79cb3a2,880431,,survey-text,,140197,,"{""Q0"":""Well, the way I played this game makes it seem like the destination is the only valuable thing, which I don't agree with."",""Q1"":""Maybe banking related things? Because ideally you want to spend the least amount, so by picking a plan and working backwards maybe you don't get screwed out of money."",""Q2"":""You want to maximize your profit and lower costs as much as possible.""}",,,,,,,,,,,,,,,,,
w79cb3a2,943526,,survey-text,,54572,,"{""Q0"":""Nope."",""Q1"":""I'm curious about your trick for the second session!""}",,,,,,,,,,,,,,,,,
wbb1a933,593447,,survey-text,,58423,,"{""Q0"":""I could check the destinations first and whichever has a higher profit, just take that path. "",""Q1"":""I would choose those that have lowest interest rates. ""}",,,,,,,,,,,,,,,,,
wbb1a933,813337,,survey-text,,218853,,"{""Q0"":""I would say this could be a lesson on how to map out your life. Checking those mini steps and seeing how the overall goal at the end of the destination can benefit you. It is all trial and error, especially those first few rounds, but you get the hang of life once you start understanding how to navigate it. "",""Q1"":""I think when I decide to become a homeowner or want to continue my education. Checking to see what steps I need to take in order to make it to that long term goal. Will the long term benefit me at the end of it all after taking those baby steps."",""Q2"":""It's like when I saw there was a destination for $48. I was afraid at first that the mini steps would charge me -$48, but once I realized that the overall goal is to attain that $48, then I stopped making the mistake in doubting those baby steps, I just took that path and ended with a bigger profit. ""}",,,,,,,,,,,,,,,,,
wbb1a933,840585,,survey-text,,15585,,"{""Q0"":""no, you just get an idea of how to navigate the game later."",""Q1"":""""}",,,,,,,,,,,,,,,,,
w21b72c7,540146,,survey-text,,40123,,"{""Q0"":""Click the end of the routes"",""Q1"":""i'd choose the best interest rate for the next 19 years""}",,,,,,,,,,,,,,,,,
w21b72c7,599432,,survey-text,,58228,,"{""Q0"":""To always take all info into account and look at the long term outlook"",""Q1"":""The stock market"",""Q2"":""I have to look at the long term and not just the short term results""}",,,,,,,,,,,,,,,,,
w21b72c7,612861,,survey-text,,4624,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
w4004298,446051,,survey-text,,140816,,"{""Q0"":""Click on end destinations to find out where the +48 is. Only click additional spots if there are two at +48 (or two tied at the highest positive amount)."",""Q1"":""I'm not sure I understand the wording of the question. Assuming the three are different types of loans, I would look at the amount of interest I would owe at the end of the mortgage period to choose the one with the least owed at the end.""}",,,,,,,,,,,,,,,,,
w4004298,612498,,survey-text,,165429,,"{""Q0"":""Make small sacrifices to figure out the best route with the best result, then go do it."",""Q1"":""Maybe in picking a computer that would serve me the best by thinking about how it will hold up in the long term and how happy I'll be with it overall."",""Q2"":""I shouldn't rush to buy a new computer. I should weigh my different options and think ahead before making such a large purchase. That way I don't end up rushing and getting something that I hate.""}",,,,,,,,,,,,,,,,,
w4004298,630802,,survey-text,,6638,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
wf9761ce,494851,,survey-text,,120767,,"{""Q0"":""Click on the long-term consequence (airport 3) first to determine which have the highest payoff, then narrow down options from only among those with the best payoff for that round with the intermediate payoff (airport 2) options and then possibly short-term payoffs (airport 1). "",""Q1"":""Lowest interest rates for the longest term (19 years).""}",,,,,,,,,,,,,,,,,
wf9761ce,638848,,survey-text,,142934,,"{""Q0"":""Consider the long-term consequences before considering short-term/temporary losses/gains. "",""Q1"":""Pushing through grad school to obtain an advanced degree. "",""Q2"":""Grad school has a lot of small costs in the short term, but the advanced degree has much larger, later payoffs""}",,,,,,,,,,,,,,,,,
wf9761ce,655533,,survey-text,,6512,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w34b3b14,523987,,survey-text,,165876,,"{""Q0"":""Click only on the end destinations and stop when you hit one with a good payout. "",""Q1"":""I would choose the loan with the best rate of interest over the 19 years. If it was possible, I'd go for a loan that had the highest interest in the first month, less interest over the remainder of the first year, then the lowest rate for the 19 year span.""}",,,,,,,,,,,,,,,,,
w34b3b14,703156,,survey-text,,178147,,"{""Q0"":""You want to think of the long term investment first, then find the quickest and least expensive way to accomplish your financial goals over time."",""Q1"":""Monthly budgeting for paying down loans and debts."",""Q2"":""You have to consider the amount paid out each month with your salary as well as the amount of interest you'd be paying over time on each bill. You want a total that doesn't leave you flat broke, but will pay off your debts quickly so you pay less interest over time.""}",,,,,,,,,,,,,,,,,
w34b3b14,720293,,survey-text,,7356,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w6c91f53,450227,,survey-text,,103980,,"{""Q0"":""I usually invest my clicks in the path that has better profit early on and if I don't find a path I feel is acceptable there, I will move on to the route with the second best initial profit next and so on."",""Q1"":""I would take more time or spend more money investigating what has the best interest rate in the final years.""}",,,,,,,,,,,,,,,,,
w6c91f53,625720,,survey-text,,174474,,"{""Q0"":""It is always worth more to look at how your plans pay out further down the road than to just think of the short term"",""Q1"":""I am spending time investigating credit unions and savings bonds they offer. "",""Q2"":""It may cost more time to compare each bank and the interest rates for both their shares and bonds and their accounts, but it is worth it to find the one that works best. Taking time to investigate also costs a small amount of money because it means waiting longer to make my initial investment and costing that amount of time's worth of compound interest.""}",,,,,,,,,,,,,,,,,
w6c91f53,667485,,survey-text,,33698,,"{""Q0"":""no"",""Q1"":""I realized an even better strategy once I completed the game and was answering the questions at the end of the survey but I will be able to implement it tomorrow.""}",,,,,,,,,,,,,,,,,
w9eab211,502390,,survey-text,,28188,,"{""Q0"":""Click on the outer ones until you see 48\n"",""Q1"":""which gives you the best cost in the long run""}",,,,,,,,,,,,,,,,,
w9eab211,531886,,survey-text,,28486,,"{""Q0"":""think about the long term"",""Q1"":""Choosing a credit card APR"",""Q2"":""You have to think about the long term cost""}",,,,,,,,,,,,,,,,,
w9eab211,572077,,survey-text,,35124,,"{""Q0"":""Yes - all of it - It wasn't clear when you could click and sometimes the plane moved in the opposite direction from what I intended"",""Q1"":""nope!""}",,,,,,,,,,,,,,,,,
w18c6801,842068,,survey-text,,253615,,"{""Q0"":""First, determine the impact of the long-term consequences since this will have the most significant effects."",""Q1"":""Focus mainly on the long-term interest rate since you will be paying this for the majority of the time.""}",,,,,,,,,,,,,,,,,
w18c6801,1365266,,survey-text,,522167,,"{""Q0"":""The lesson learned is that it is most important to understand what the long-term consequences will be from actions taken. It doesn't matter if things start out great and positive when the long-term results will be greatly negative."",""Q1"":""In choosing to lose weight and get control over one's health, it may seem negative at first or even positive to some degree. This really doesn't matter because the great benefits from the long-term goal will be far greater than anything, positive or negative, experienced along the way."",""Q2"":""It's very similar in that it's important to focus on the long-term and not be fooled by the short-term outcomes.""}",,,,,,,,,,,,,,,,,
w18c6801,1407283,,survey-text,,17961,,"{""Q0"":""no"",""Q1"":""no comments, thanks.""}",,,,,,,,,,,,,,,,,
we6f0dfa,315791,,survey-text,,72385,,"{""Q0"":""Click on end destinations to maximize profits"",""Q1"":""I would choose the loan that has the most steady interest rate""}",,,,,,,,,,,,,,,,,
we6f0dfa,485657,,survey-text,,168859,,"{""Q0"":""Small risks may need to be taken to get a larger reward"",""Q1"":""I spent some money on a training course that ultimately didn't lead to new or better job prospects but I gained knowledge"",""Q2"":""I took a risk knowing the outcomes but was unsure of the exact outcome""}",,,,,,,,,,,,,,,,,
we6f0dfa,500163,,survey-text,,1771,,"{""Q0"":"""",""Q1"":""""}",,,,,,,,,,,,,,,,,
wc4d18d1,467841,,survey-text,,39780,,"{""Q0"":""I can increase my chances by only clicking on each path once and guessing what's on the opposite dot."",""Q1"":""I would choose the one that saves me the most money in the long run, even if I have to pay more now.""}",,,,,,,,,,,,,,,,,
wc4d18d1,540900,,survey-text,,72042,,"{""Q0"":""I think I would tell them that sometimes you do have to spend money so that you can make more money in the long run, especially so that you can move more quickly to where you want to be."",""Q1"":""I think this would apply in terms of taking extra courses, yes they might cost money but long-term they will allow me to land a higher-paying job."",""Q2"":""This situation is similar because in the game you have to spend a small amount of money on clicks in order to makr $48 in the end.""}",,,,,,,,,,,,,,,,,
wc4d18d1,556129,,survey-text,,4394,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w7372f01,434588,,survey-text,,56859,,"{""Q0"":""One way to do it is to try to see where is a negative area and then fly away from that area."",""Q1"":""I would look at the different interest options and choose the one that would be cheapest over the longest period of time. ""}",,,,,,,,,,,,,,,,,
w7372f01,505283,,survey-text,,69683,,"{""Q0"":""I would tell them that if you want to save money in the long run, you should see what all of your options are up front."",""Q1"":""I think that this would help me actually in just stopping to think about my life and what techniques I should use to go forward before I make decisions about things."",""Q2"":""I think that when you want to make a decision, it can be easy to go for just what's right in front of you, but it might be better to stop and wait and try to predict where certain outcomes may be.""}",,,,,,,,,,,,,,,,,
w7372f01,514020,,survey-text,,4080,,"{""Q0"":""none"",""Q1"":""none""}",,,,,,,,,,,,,,,,,
wb7ac4c3,411631,,survey-text,,67826,,"{""Q0"":""You can stop once you've found the 48 because that's as high as you can go"",""Q1"":""Go with the plan with the lowest interest rate for the next 19 years""}",,,,,,,,,,,,,,,,,
wb7ac4c3,530488,,survey-text,,117850,,"{""Q0"":""Long term planning is more important than short term or intermediate term planning. The final destination has the greatest reward (or loss)."",""Q1"":""Choosing a career"",""Q2"":""It might cost money and time in the short term to go to school and effort to get established in the intermediate term but those are worth it if the long term reward is high""}",,,,,,,,,,,,,,,,,
wb7ac4c3,544958,,survey-text,,4827,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
wbddc8d4,612329,,survey-text,,279637,,"{""Q0"":""I tried using a different flight path every time."",""Q1"":""I would try to explore all options first and calculate the greatest SAVINGS over the course of the mortgage.""}",,,,,,,,,,,,,,,,,
wbddc8d4,683305,,survey-text,,69965,,"{""Q0"":""I would tell them to try \""different paths\""."",""Q1"":""Looking for work."",""Q2"":""I have to navigate various \""paths/routes\"" in order to find the one which is most profitable to me.""}",,,,,,,,,,,,,,,,,
wbddc8d4,773906,,survey-text,,78778,,"{""Q0"":""I was confused by the instructions at first and it took me a couple of rounds to get the hang of it."",""Q1"":""I would be interested in finding out how other participants of this study did.""}",,,,,,,,,,,,,,,,,
waecabcf,530458,,survey-text,,108542,,"{""Q0"":""First click on the final destination airports instead of the intermediate ones."",""Q1"":""I would evaluate the amount I would be paying overall, instead of just looking at the interest and the monthly payments.""}",,,,,,,,,,,,,,,,,
waecabcf,772386,,survey-text,,240915,,"{""Q0"":""Determine your long term goals and then break that down into smaller, more manageable goals."",""Q1"":""Figuring out what kind of car to buy"",""Q2"":""I need to figure out first what are the main things I am looking for in a car and narrow down the decision from there.""}",,,,,,,,,,,,,,,,,
waecabcf,800797,,survey-text,,13767,,"{""Q0"":""No"",""Q1"":""None""}",,,,,,,,,,,,,,,,,
w93f26eb,1547170,,survey-text,,196150,,"{""Q0"":""Revealing the prices of the final destination gives the most insight as to a good flight plan as the final destinations had the most differential in profit."",""Q1"":""I would choose the mortgage loan with the best 19 year interest rate.""}",,,,,,,,,,,,,,,,,
w93f26eb,1649716,,survey-text,,101536,,"{""Q0"":""Long term planning is more important than short term planning."",""Q1"":""I could use this lesson in saving for retirement."",""Q2"":""It is better to allocate money to a 401K now then spend that money on short term gain at long term expense.""}",,,,,,,,,,,,,,,,,
w93f26eb,1671913,,survey-text,,7593,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w44519a3,565650,,survey-text,,135455,,"{""Q0"":""The best way to not spend money on too many clicks look at the end of the routes."",""Q1"":""I would choose the one that has the least interest rate so that more can go towards the principle. ""}",,,,,,,,,,,,,,,,,
w44519a3,676113,,survey-text,,109441,,"{""Q0"":""Always look at the end result to help you choose which path to take."",""Q1"":""When looking at a new job opportunity look at the end result to see what path to take."",""Q2"":""You have to look ahead to make your move and there will be some losses along with some gains along the way.""}",,,,,,,,,,,,,,,,,
w44519a3,698424,,survey-text,,8836,,"{""Q0"":""No"",""Q1"":""none""}",,,,,,,,,,,,,,,,,
w2793fb6,723909,,survey-text,,27009,,"{""Q0"":""Just click on one or two ends.  Try to remember where they were"",""Q1"":""I would go with the one that is always the same ""}",,,,,,,,,,,,,,,,,
w2793fb6,749492,,survey-text,,24569,,"{""Q0"":""I need to look at more options then one to make sure I am getting the best one"",""Q1"":""Looking for loans"",""Q2"":""looking for credit cards and loans""}",,,,,,,,,,,,,,,,,
w2793fb6,760171,,survey-text,,3903,,"{""Q0"":""no"",""Q1"":""no""}",,,,,,,,,,,,,,,,,
w2915cde,870867,,survey-text,,205570,,"{""Q0"":""I won't worry about the dollar being spent while clicking because chances are I will click a destination that will be higher than what I may have spent."",""Q1"":""I will choose the one with the lowest interests""}",,,,,,,,,,,,,,,,,
w2915cde,1276141,,survey-text,,404220,,"{""Q0"":""Make decisions based on what you know will benefit you for the long term if you even if you have to give a piece of your time and energy in the present."",""Q1"":""An example is for college, getting a degree will benefit me in the long run even if it not the easiest in the beginning."",""Q2"":""It is similar to the flight planning because even though I had to spend a dollar to get clicks/information for the destination, it benefitted me by doing so because I was able to get the return for small amount that I spent.""}",,,,,,,,,,,,,,,,,
w2915cde,1309946,,survey-text,,11059,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
wfad7116,577267,,survey-text,,83146,,"{""Q0"":""Finding the destinations that offer the highest reward before beginning to fly."",""Q1"":""Based on which one would yield the least amount of interest in the end.""}",,,,,,,,,,,,,,,,,
wfad7116,676274,,survey-text,,97921,,"{""Q0"":""It's not just about the short-term gains."",""Q1"":""Everything. I need to think more long-term than short in the way I live so that consequences don't arise because I did something that was going to benefit me right away."",""Q2"":""A little similar. You can jump on things quickly without doing research or take your time and yield higher rewards in the end.""}",,,,,,,,,,,,,,,,,
wfad7116,697519,,survey-text,,9727,,"{""Q0"":""Nope!"",""Q1"":""""}",,,,,,,,,,,,,,,,,
w1aeb482,330990,,survey-text,,61071,,"{""Q0"":""I can focus on the end destination to primarily focus on the greatest potential increases and avoid the biggest losses."",""Q1"":""I would primarily focus on the one with the biggest return in the next 19 years.""}",,,,,,,,,,,,,,,,,
w1aeb482,393424,,survey-text,,61424,,"{""Q0"":""To take into account which portion of planning nets the biggest return."",""Q1"":""Putting away fore retirement where the amount may start small but grow larger and more valuable over time."",""Q2"":""Focus on the long term benefits rather than short term gains.""}",,,,,,,,,,,,,,,,,
w1aeb482,405951,,survey-text,,4744,,"{""Q0"":""No"",""Q1"":""No""}",,,,,,,,,,,,,,,,,
w41d93aa,544303,,survey-text,,236839,,"{""Q0"":""I can first find out the short term gains or losses of a path in choosing an initial path. After choosing that initial path, I will go down it to see what the gains or losses are. If the path is attractive, then I will not bother wasting money to click on the other paths and just go down that path. Only if the initial path is not attractive will I use clicks on the other paths to see if they are better."",""Q1"":""I will look at the whole picture and focus on choosing the mortgage loan that will be the most beneficial overall. I will want to choose the loan that will lead to me playing the least amount in the end.""}",,,,,,,,,,,,,,,,,
w41d93aa,843609,,survey-text,,298285,,"{""Q0"":""The art of Flight Planning teaches us to always plan carefully and look at the whole picture. Instead of focusing on short term consequences, we should look at what is gained or lost overall in the long term. Doing this will help us maximize our gains and avoid losses."",""Q1"":""One example would be choosing what restaurants to go to for lunch break at work."",""Q2"":""This situation is similar because there are several restaurants I can choose from. Each restaurant has different associated costs and nutritional benefits depending on the food. I need to choose and plan my lunch meals carefully in order to fit my budget while still satisfying my nutritional needs.""}",,,,,,,,,,,,,,,,,
w41d93aa,903215,,survey-text,,16016,,"{""Q0"":""None, the instructions were easy to understand."",""Q1"":""None""}",,,,,,,,,,,,,,,,,
wde6f8b6,585153,,survey-text,,154906,,"{""Q0"":""Learn from experience the best available end profit."",""Q1"":""Final payment compared to research costs.""}",,,,,,,,,,,,,,,,,
wde6f8b6,798711,,survey-text,,212521,,"{""Q0"":""It is better in the long run to do the research."",""Q1"":""In reviewing voting, it's better in the long run to do the research. Long term profit may be slightly less, but one will profit, not lose."",""Q2"":""The cost of research is worth it in the end.""}",,,,,,,,,,,,,,,,,
wde6f8b6,858671,,survey-text,,35264,,"{""Q0"":""No."",""Q1"":""No.""}",,,,,,,,,,,,,,,,,
w829eb47,875161,,survey-text,,137446,,"{""Q0"":""Click on the endpoint circles, which represent long-term planning. The gains and losses for the endpoint circles were much greater than the values in the short-term and mid-term steps."",""Q1"":""I would be sure to look at the long-term interest rates because that will greatly affect the amount you end up paying in total in the long term.""}",,,,,,,,,,,,,,,,,
w829eb47,1402878,,survey-text,,526690,,"{""Q0"":""Look farther down the road at the long-term consequences of your decisions because that's where the biggest losses or gains are to be made. Also, doing your research and having more information when you can is very useful and leads to better outcomes."",""Q1"":""I divert more money into my retirement account. In the short term, I have less money to live on in the short term, but in the longer term I'll hopefully have a more due to the magic of the market and compound interest."",""Q2"":""Both involve looking farther down the road and having some information about what outcomes of the different paths might be.""}",,,,,,,,,,,,,,,,,
w829eb47,1518479,,survey-text,,108964,,"{""Q0"":""When there was a time penalty, I wish there was a countdown that told you how long until the the next step, because I wasn't sure if I was supposed to do anything the first time that happened and I thought maybe the game had frozen."",""Q1"":""Add countdown and instructions to wait so you know the game is still working.""}",,,,,,,,,,,,,,,,,
w38b044a,373501,,survey-text,,82091,,"{""Q0"":""Connections are important. If a stopover is far more of a loss than you're willing to take, then exploring other routes is a good idea."",""Q1"":""I would have to look at how long I planned on staying in the area.""}",,,,,,,,,,,,,,,,,
w38b044a,468167,,survey-text,,93646,,"{""Q0"":""Try not to look at a step backward as insurmountable, and instead see if it leads you to your desired destination even if difficult."",""Q1"":""University work and my class schedule."",""Q2"":""When it comes to university, you don't always get to take classes you're interested in right off the bat. You have to take general education requirements before moving on towards your major.""}",,,,,,,,,,,,,,,,,
w38b044a,488601,,survey-text,,10181,,"{""Q0"":""No."",""Q1"":""None.""}",,,,,,,,,,,,,,,,,
w6d0d217,1251157,,survey-text,,154375,,"{""Q0"":""I'd plan for the long term goals."",""Q1"":""I'd choose the one with lowest interest rate in the next 19 years.""}",,,,,,,,,,,,,,,,,
w6d0d217,1417322,,survey-text,,165149,,"{""Q0"":""Look for the highest benefit you can achieve in the long run."",""Q1"":""I'd say how I invest my money would be an good example."",""Q2"":""I'd invest in assets that would bring me the highest profit in the long run.""}",,,,,,,,,,,,,,,,,
w6d0d217,1457788,,survey-text,,17137,,"{""Q0"":""No."",""Q1"":""Great study.""}",,,,,,,,,,,,,,,,,
